return_preset,scenario,shorrocks_index,rank_correlation,top_20_persistence,bottom_40_to_top_40,seed
low_return_heterogeneity,flat,0.69225,0.7278470721064708,0.7645,0.136,0
low_return_heterogeneity,swedish_low_progressivity,0.6876249999999999,0.7315557435195574,0.776,0.1345,0
low_return_heterogeneity,swedish_baseline_progressivity,0.68125,0.7400365762043658,0.7915,0.1275,0
low_return_heterogeneity,swedish_high_progressivity,0.6701250000000001,0.749762506977625,0.8125,0.121,0
baseline_return_heterogeneity,flat,0.718875,0.6840780531847805,0.7175,0.14975,0
baseline_return_heterogeneity,swedish_low_progressivity,0.7184999999999999,0.6868708660727088,0.7255,0.1475,0
baseline_return_heterogeneity,swedish_baseline_progressivity,0.717625,0.693093188502932,0.7445,0.14275,0
baseline_return_heterogeneity,swedish_high_progressivity,0.7125,0.700056895888569,0.7535,0.139,0
high_return_heterogeneity,flat,0.80775,0.5715071316270713,0.603,0.18775,0
high_return_heterogeneity,swedish_low_progressivity,0.808875,0.5721352474893524,0.605,0.1885,0
high_return_heterogeneity,swedish_baseline_progressivity,0.8079999999999999,0.5737846424298464,0.608,0.19125,0
high_return_heterogeneity,swedish_high_progressivity,0.807375,0.5755754176157543,0.6125,0.19,0
low_return_heterogeneity,flat,0.696,0.7070315416463154,0.769,0.15325,1
low_return_heterogeneity,swedish_low_progressivity,0.6960000000000001,0.711457303078573,0.7775,0.15075,1
low_return_heterogeneity,swedish_baseline_progressivity,0.6895,0.7212890854328907,0.7905,0.1415,1
low_return_heterogeneity,swedish_high_progressivity,0.684875,0.7324495461404955,0.806,0.1295,1
baseline_return_heterogeneity,flat,0.727875,0.6657266887052669,0.7295,0.16075,1
baseline_return_heterogeneity,swedish_low_progressivity,0.728375,0.669284499956845,0.734,0.1565,1
baseline_return_heterogeneity,swedish_baseline_progressivity,0.725625,0.6769369205653691,0.743,0.1515,1
baseline_return_heterogeneity,swedish_high_progressivity,0.7255,0.685365195469652,0.7545,0.145,1
high_return_heterogeneity,flat,0.80875,0.5608412076884121,0.6075,0.19225,1
high_return_heterogeneity,swedish_low_progressivity,0.808125,0.5623044646270446,0.609,0.19175,1
high_return_heterogeneity,swedish_baseline_progressivity,0.8089999999999999,0.5653048754890487,0.6115,0.19075,1
high_return_heterogeneity,swedish_high_progressivity,0.807875,0.5684855072608551,0.617,0.188,1
low_return_heterogeneity,flat,0.710125,0.7097459803134597,0.7555,0.15125,2
low_return_heterogeneity,swedish_low_progressivity,0.7075,0.7137785023057849,0.762,0.14625,2
low_return_heterogeneity,swedish_baseline_progressivity,0.702125,0.7231478657354787,0.78,0.137,2
low_return_heterogeneity,swedish_high_progressivity,0.692125,0.7338202964102029,0.796,0.127,2
baseline_return_heterogeneity,flat,0.739625,0.6629383233653833,0.7165,0.165,2
baseline_return_heterogeneity,swedish_low_progressivity,0.7364999999999999,0.6660448157164481,0.7235,0.16325,2
baseline_return_heterogeneity,swedish_baseline_progressivity,0.7286250000000001,0.6730157278901573,0.7375,0.1565,2
baseline_return_heterogeneity,swedish_high_progressivity,0.724625,0.6808558928085588,0.7495,0.14925,2
high_return_heterogeneity,flat,0.819125,0.5486107702341078,0.6035,0.20175,2
high_return_heterogeneity,swedish_low_progressivity,0.81725,0.5496090198840902,0.6065,0.201,2
high_return_heterogeneity,swedish_baseline_progressivity,0.819125,0.5520437207764373,0.612,0.1975,2
high_return_heterogeneity,swedish_high_progressivity,0.819625,0.5548117066841172,0.6165,0.1935,2
