return_preset,transfer_policy,tax_scenario,seed_count,wealth_gini_difference_relative_to_flat_mean,wealth_gini_difference_relative_to_flat_std,wealth_gini_difference_relative_to_flat_ci_low,wealth_gini_difference_relative_to_flat_ci_high,disposable_income_gini_difference_relative_to_flat_mean,disposable_income_gini_difference_relative_to_flat_std,disposable_income_gini_difference_relative_to_flat_ci_low,disposable_income_gini_difference_relative_to_flat_ci_high,top_10_difference_relative_to_flat_mean,top_10_difference_relative_to_flat_std,top_10_difference_relative_to_flat_ci_low,top_10_difference_relative_to_flat_ci_high,top_1_difference_relative_to_flat_mean,top_1_difference_relative_to_flat_std,top_1_difference_relative_to_flat_ci_low,top_1_difference_relative_to_flat_ci_high,shorrocks_difference_relative_to_flat_mean,shorrocks_difference_relative_to_flat_std,shorrocks_difference_relative_to_flat_ci_low,shorrocks_difference_relative_to_flat_ci_high,top_20_persistence_difference_relative_to_flat_mean,top_20_persistence_difference_relative_to_flat_std,top_20_persistence_difference_relative_to_flat_ci_low,top_20_persistence_difference_relative_to_flat_ci_high
baseline_return_heterogeneity,lump_sum_only,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,3,-0.011542479405674433,4.807532910325332e-05,-0.011596881761904753,-0.011488077049444113,-0.03940209077884579,0.00020652154620477586,-0.03963579190862357,-0.039168389649068006,-0.0038572696576697854,0.00028731268648623896,-0.004182394569163257,-0.003532144746176313,-0.0001405628116865898,7.908555604141366e-05,-0.00023005654314285176,-5.106908023032783e-05,-0.006083333333333367,0.0013129959380490555,-0.007569128107557281,-0.004597538559109452,0.023833333333333335,0.0058380932960457,0.01722690885072211,0.03043975781594456
baseline_return_heterogeneity,lump_sum_only,swedish_high_progressivity,3,-0.018172316272853466,0.00011413816733033805,-0.01830147576805411,-0.018043156777652822,-0.06670913585675087,8.779852986358434e-05,-0.0668084892462592,-0.06660978246724253,-0.005242499312103095,0.00035914095365769994,-0.005648905559594828,-0.004836093064611363,-0.0001678312860592899,0.00011293788613633355,-0.00029563253522582806,-4.003003689275172e-05,-0.01250000000000003,0.004748354978305699,-0.017873269488868113,-0.007126730511131947,0.03400000000000003,0.005220153254455375,0.028092840502125044,0.03990715949787502
baseline_return_heterogeneity,lump_sum_only,swedish_low_progressivity,3,-0.004402358199279366,2.834116816116193e-05,-0.004434429250170677,-0.004370287148388055,-0.013892431132939587,0.0002254493893631674,-0.014147551133589011,-0.013637311132290162,-0.0018530633719039218,0.00011223549948230264,-0.0019800697957478514,-0.0017260569480599922,-9.10551349604614e-05,4.183474843489491e-05,-0.00013839560937038041,-4.371466055054237e-05,-0.0012083333333333297,0.00038188130791299305,-0.0016404727141405534,-0.0007761939525261061,0.0073333333333333766,0.0002886751345948452,0.007006666666666673,0.00766000000000008
baseline_return_heterogeneity,no_transfers,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_return_heterogeneity,no_transfers,swedish_baseline_progressivity,3,-0.007164453840401652,0.00036264203776146755,-0.007574821937518925,-0.006754085743284379,-0.04608826438123259,0.00035275099894230256,-0.046487439714257235,-0.04568908904820795,0.0013289186993293105,0.0005045605866856607,0.0007579546458602447,0.0018998827527983765,0.001794084998341457,0.0002494691125911266,0.0015117841220958486,0.0020763858745870656,-0.013500000000000068,0.0018413649828320263,-0.015583700634288333,-0.011416299365711802,0.02666666666666669,0.001040832999733014,0.025488853250015178,0.0278444800833182
baseline_return_heterogeneity,no_transfers,swedish_high_progressivity,3,-0.011569492318450614,0.0006609617497644515,-0.012317440948985696,-0.010821543687915531,-0.08204422786625365,0.00030116722100468577,-0.08238503065944522,-0.08170342507306208,0.003097652630228117,0.0008438698497176707,0.002142723999832925,0.004052581260623309,0.002881603073955042,0.00040258305539440844,0.0024260374605648803,0.003337168687345204,-0.025749999999999978,0.004698736532303078,-0.03106712093148155,-0.020432879068518407,0.04433333333333337,0.004368447474027018,0.0393899696561957,0.04927669701047104
baseline_return_heterogeneity,no_transfers,swedish_low_progressivity,3,-0.00264845826340269,0.0001282359159089917,-0.002793570862919566,-0.002503345663885814,-0.01510467972803009,0.00026905269298944,-0.015409141511688438,-0.014800217944371743,5.709130152024381e-05,0.0001966385830512438,-0.0001654262026408525,0.0002796088056813401,0.0006502389352490608,0.00010412418171115979,0.0005324113315424891,0.0007680665389556326,-0.0034999999999999845,0.0026604745817240968,-0.00651061040322389,-0.0004893895967760784,0.010833333333333325,0.002362907813126275,0.008159451427855024,0.013507215238811626
baseline_return_heterogeneity,universal_plus_safety_floor,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,3,-0.01087908005245127,4.130414181388192e-05,-0.010925820088945257,-0.010832340015957283,-0.03744742851783056,0.00016370181611965562,-0.03763267456153345,-0.03726218247412767,-0.003752403737327825,0.00030590709824224166,-0.004098570206541489,-0.003406237268114161,-0.0001589284953622492,8.075199766826086e-05,-0.00025030798304133525,-6.754900768316315e-05,-0.0038749999999999987,0.005696764432552953,-0.01032149581814289,0.0025714958181428933,0.021666666666666685,0.006601767440112738,0.014196063537660949,0.02913726979567242
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,3,-0.016739802555373256,9.863800641942325e-05,-0.016851421967308076,-0.016628183143438436,-0.0624854721912671,0.00011463294878933147,-0.06261519158439648,-0.062355752798137716,-0.0050405676356940305,0.0003874793278993247,-0.0054790417724594875,-0.004602093498928574,-0.00019628662437419045,0.000112665712068555,-0.00032377987958898385,-6.879336915939708e-05,-0.008333333333333267,0.0074920096324907195,-0.016811340338389248,0.0001446736717227136,0.032666666666666656,0.0050083264004388795,0.02699921181952018,0.03833412151381314
baseline_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,3,-0.004276309265496196,2.776085628319204e-05,-0.004307723631678345,-0.004244894899314047,-0.013481358898108494,0.00020847307946509903,-0.013717268395662506,-0.013245449400554483,-0.0018304408822426566,0.00012167835010639275,-0.001968132897492068,-0.0016927488669932448,-9.673398413294343e-05,4.0686892277607794e-05,-0.00014277553702251713,-5.069243124336974e-05,3.700743415417188e-17,0.0008660254037845034,-0.0009800000000000364,0.0009800000000001106,0.0073333333333333766,0.0010408329997330763,0.0061555199166817955,0.008511146749984959
high_return_heterogeneity,lump_sum_only,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,3,-0.009359894435776228,6.20693202271423e-05,-0.00943013248370968,-0.009289656387842776,-0.03940209077884579,0.00020652154620477586,-0.03963579190862357,-0.039168389649068006,-0.004076827487660362,0.00035570335951873636,-0.004479343731185163,-0.0036743112441355603,-0.00023803319549395296,0.00012897507528486792,-0.0003839822325855156,-9.20841584023903e-05,-0.001583333333333344,0.0018128591598172519,-0.0036347765922231474,0.0004681099255564598,0.005666666666666635,0.0027537852736430266,0.002550465275371307,0.008782868057961963
high_return_heterogeneity,lump_sum_only,swedish_high_progressivity,3,-0.01462790808159046,6.371827008478005e-05,-0.01470001209194652,-0.0145558040712344,-0.06670913585675087,8.779852986358434e-05,-0.0668084892462592,-0.06660978246724253,-0.005889291652531103,0.00043951367225168904,-0.006386648193025689,-0.005391935112036518,-0.0003019486226835631,0.00020698146942419688,-0.0005361702045786388,-6.772704078848734e-05,-0.0021250000000000067,0.0008196798155377445,-0.003052555029814045,-0.0011974449701859682,0.010333333333333342,0.001755942292142093,0.008346297573435957,0.012320369093230726
high_return_heterogeneity,lump_sum_only,swedish_low_progressivity,3,-0.0036040062921451157,2.0139903372425193e-05,-0.0036267967382668203,-0.003581215846023411,-0.013892431132939587,0.0002254493893631674,-0.014147551133589011,-0.013637311132290162,-0.0017746750218851082,0.00016924964295751498,-0.001966199022651776,-0.0015831510211184402,-0.00012779730783231877,4.788441383413632e-05,-0.00018198362309788582,-7.361099256675171e-05,0.00012500000000000475,0.0018498310733685993,-0.0019682809176027978,0.0022182809176028075,0.0013333333333333346,0.001527525231651948,-0.0003952241898955327,0.0030618908565622016
high_return_heterogeneity,no_transfers,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_return_heterogeneity,no_transfers,swedish_baseline_progressivity,3,-0.005086170812687548,0.00041796437278717423,-0.00555914202524263,-0.0046131996001324655,-0.04608826438123259,0.00035275099894230256,-0.046487439714257235,-0.04568908904820795,0.0008674836052014098,0.0004981285272913744,0.00030379811212890434,0.0014311690982739152,0.0018481028419274996,0.0003366258341651461,0.001467174850623498,0.002229030833231501,-0.0072916666666666225,0.002385939717036776,-0.009991611624953371,-0.004591721708379874,0.01416666666666666,0.0018929694486000733,0.012024570082061361,0.016308763251271962
high_return_heterogeneity,no_transfers,swedish_high_progressivity,3,-0.008136419651241086,0.0007456881988080996,-0.008980245284575318,-0.007292594017906854,-0.08204422786625365,0.00030116722100468577,-0.08238503065944522,-0.08170342507306208,0.0021653829621781826,0.0007999828184526288,0.001260117182840009,0.003070648741516356,0.0030003271570682214,0.0005360769601136812,0.0023936989697013605,0.0036069553444350822,-0.015541666666666601,0.0030881156606147047,-0.019036198506238014,-0.012047134827095188,0.02516666666666671,0.001607275126832149,0.02334786364147558,0.026985469691857836
high_return_heterogeneity,no_transfers,swedish_low_progressivity,3,-0.0018974673978275902,0.0001511681869549657,-0.00206853030495305,-0.0017264044907021304,-0.01510467972803009,0.00026905269298944,-0.015409141511688438,-0.014800217944371743,1.513338377223672e-06,0.00019865656444811937,-0.00022328772670517593,0.00022631440345962327,0.0006691302878744643,0.00014738783850140935,0.0005023452477356953,0.0008359153280132332,-0.002583333333333345,0.001631397662537749,-0.004429433577391477,-0.0007372330892752134,0.005666666666666671,0.0016072751268321089,0.003847863641475588,0.007485469691857755
high_return_heterogeneity,universal_plus_safety_floor,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,3,-0.008784302783424977,6.850867410322084e-05,-0.008861827646238201,-0.008706777920611752,-0.03744742851783056,0.00016370181611965562,-0.03763267456153345,-0.03726218247412767,-0.0039583456996994575,0.00037722647643812185,-0.004385217642824785,-0.0035314737565741304,-0.00025974286673707364,0.00013729847108000614,-0.0004151107128423102,-0.00010437502063183709,-0.0006666666666666673,0.0013010412496662607,-0.002138933437481048,0.0008056001041477132,0.005500000000000023,0.0018027756377319653,0.0034599673205232464,0.0075400326794768
high_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,3,-0.013409631884435003,8.457764089550754e-05,-0.013505340494962355,-0.01331392327390765,-0.0624854721912671,0.00011463294878933147,-0.06261519158439648,-0.062355752798137716,-0.0056204573157978555,0.0004591740145784071,-0.006140061628004435,-0.0051008530035912755,-0.00032714556942643286,0.0002130866744920092,-0.0005682758412286528,-8.601529762421284e-05,-0.0002083333333333289,0.0018554536731843485,-0.0023079768215897817,0.0018913101549231238,0.011166666666666695,0.001607275126832149,0.009347863641475565,0.012985469691857824
high_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,3,-0.0034899661354981237,1.9774044494016992e-05,-0.0035123425733248367,-0.0034675896976714107,-0.013481358898108494,0.00020847307946509903,-0.013717268395662506,-0.013245449400554483,-0.0017564059028656505,0.00017149796154331524,-0.0019504741156201606,-0.0015623376901111403,-0.00013569867724354256,5.7553838184399007e-05,-0.00020082697622211408,-7.057037826497106e-05,8.333333333332416e-05,0.001464866319270626,-0.0015743189556317917,0.00174098562229844,0.002166666666666687,0.001258305739211822,0.0007427596784433657,0.0035905736548900082
low_return_heterogeneity,lump_sum_only,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_return_heterogeneity,lump_sum_only,swedish_baseline_progressivity,3,-0.012275999406767749,0.00015093302246318107,-0.012446796200219244,-0.012105202613316254,-0.03940209077884579,0.00020652154620477586,-0.03963579190862357,-0.039168389649068006,-0.003397021136274011,4.996135676306004e-05,-0.0034535577337154247,-0.003340484538832597,-0.00010401700204881736,3.0709403633288434e-05,-0.00013876796365930799,-6.926604043832674e-05,-0.007166666666666728,0.005002082899486312,-0.01282705632738013,-0.0015062770059533258,0.023499999999999965,0.0037749172176354,0.019228279035330077,0.027771720964669854
low_return_heterogeneity,lump_sum_only,swedish_high_progressivity,3,-0.01941517276584877,0.00027575408197155586,-0.019727217885023348,-0.019103127646674194,-0.06670913585675087,8.779852986358434e-05,-0.0668084892462592,-0.06660978246724253,-0.004438382613934903,0.00010358055569589607,-0.004555595046894023,-0.004321170180975783,-0.00012989832727105613,5.426505384576672e-05,-0.00019130501642412433,-6.849163811798794e-05,-0.018291666666666706,0.005604592610826742,-0.02463386024968236,-0.011949473083651053,0.042833333333333314,0.0045368858629387795,0.037699363675802705,0.04796730299086392
low_return_heterogeneity,lump_sum_only,swedish_low_progressivity,3,-0.004659014546544012,7.034372046201458e-05,-0.004738615959795318,-0.004579413133292706,-0.013892431132939587,0.0002254493893631674,-0.014147551133589011,-0.013637311132290162,-0.0017401748731267948,3.5419239733703335e-05,-0.0017802555160124959,-0.0017000942302410936,-5.730880488987363e-05,1.697879525167529e-05,-7.652212042765135e-05,-3.809548935209591e-05,-0.001083333333333325,0.0018805473493994482,-0.003211372989396558,0.0010447063227299077,0.00799999999999997,0.001802775637732027,0.005959967320523124,0.010040032679476818
low_return_heterogeneity,no_transfers,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_return_heterogeneity,no_transfers,swedish_baseline_progressivity,3,-0.007844313370944489,0.0002878402932135003,-0.008170035325654542,-0.007518591416234436,-0.04608826438123259,0.00035275099894230256,-0.046487439714257235,-0.04568908904820795,0.0019020152525546785,0.0004359782140160417,0.0014086594596776495,0.0023953710454317073,0.001834111236612701,0.00013032628835866464,0.0016866331579866358,0.0019815893152387663,-0.026166666666666633,0.0012011279421166336,-0.027525870886462585,-0.02480746244687068,0.033833333333333306,0.0016072751268322123,0.03201453030814211,0.0356521363585245
low_return_heterogeneity,no_transfers,swedish_high_progressivity,3,-0.012737973260514032,0.0005350884850126226,-0.013343482883004153,-0.012132463638023911,-0.08204422786625365,0.00030116722100468577,-0.08238503065944522,-0.08170342507306208,0.003982724942690696,0.0008101124676004374,0.0030659963862544465,0.004899453499126946,0.0029074664424727364,0.0002554030852781473,0.0026184506439998257,0.003196482240945647,-0.05066666666666667,0.0035052044638413347,-0.05463317891856308,-0.04670015441477027,0.05750000000000003,0.0025000000000000022,0.05467098368097086,0.0603290163190292
low_return_heterogeneity,no_transfers,swedish_low_progressivity,3,-0.0028830843692839725,0.00010400453515614547,-0.003000776580167884,-0.002765392158400061,-0.01510467972803009,0.00026905269298944,-0.015409141511688438,-0.014800217944371743,0.0002512992026303766,0.00015307234061164187,7.808154279744623e-05,0.00042451686246330693,0.000687189589786516,4.1063009104336666e-05,0.0006407224206406713,0.0007336567589323607,-0.008291666666666697,0.002107773311656922,-0.01067683670486333,-0.005906496628470065,0.011666666666666678,0.0025658007197234987,0.008763189823676854,0.014570143509656502
low_return_heterogeneity,universal_plus_safety_floor,flat,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_return_heterogeneity,universal_plus_safety_floor,swedish_baseline_progressivity,3,-0.011596333369952472,0.00013908154377020588,-0.011753718952753145,-0.011438947787151798,-0.03744742851783056,0.00016370181611965562,-0.03763267456153345,-0.03726218247412767,-0.0032615781936984334,3.68331455951761e-05,-0.0033032588216864054,-0.0032198975657104613,-0.00012072670618723524,4.17273248015715e-05,-0.00016794561931246575,-7.350779306200475e-05,-0.008583333333333387,0.0016504418600281788,-0.010450984115584814,-0.00671568255108196,0.024833333333333336,0.0035472994422987916,0.0208191861290348,0.02884748053763187
low_return_heterogeneity,universal_plus_safety_floor,swedish_high_progressivity,3,-0.017931793004317537,0.0002467270181468269,-0.01821099090859065,-0.017652595100044424,-0.0624854721912671,0.00011463294878933147,-0.06261519158439648,-0.062355752798137716,-0.004210972681902754,0.0001141912227976055,-0.004340192215016483,-0.004081753148789026,-0.00015506169833176078,6.583586909396148e-05,-0.00022956199754947475,-8.05613991140468e-05,-0.018000000000000054,0.004009753733086403,-0.022537463498475876,-0.013462536501524233,0.041666666666666706,0.0042524502740576686,0.03685456617819903,0.04647876715513438
low_return_heterogeneity,universal_plus_safety_floor,swedish_low_progressivity,3,-0.004532658852769285,6.995399978160146e-05,-0.004611819255554691,-0.004453498449983879,-0.013481358898108494,0.00020847307946509903,-0.013717268395662506,-0.013245449400554483,-0.0016864437061211435,2.5961726690131756e-05,-0.0017158221655117665,-0.0016570652467305204,-6.448633031637396e-05,2.1049194209539483e-05,-8.830573588485453e-05,-4.066692474789339e-05,-0.0017916666666667098,7.216878364872732e-05,-0.0018733333333334039,-0.0017100000000000158,0.00733333333333334,0.0010408329997331207,0.006155519916681709,0.008511146749984972
